name	antigen	nanobody	reference	notes
8qf4_wt	examples/testset/8qf4/target.fasta	examples/testset/8qf4/nanobody.fasta	examples/testset/8qf4/reference.cif	Complex between N-lobe of Arc and nanobody H11 (1.02 A)
6her_wt	examples/testset/6her/target.fasta	examples/testset/6her/nanobody.fasta	examples/testset/6her/reference.cif	Mouse prion protein in complex with Nanobody 484 (1.20 A)
5imm_wt	examples/testset/5imm/target.fasta	examples/testset/5imm/nanobody.fasta	examples/testset/5imm/reference.cif	Nanobody targeting mouse Vsig4 in Spacegroup P212121 (1.20 A)
5imk_wt	examples/testset/5imk/target.fasta	examples/testset/5imk/nanobody.fasta	examples/testset/5imk/reference.cif	Nanobody targeting human Vsig4 in Spacegroup C2 (1.23 A)
5m13_wt	examples/testset/5m13/target.fasta	examples/testset/5m13/nanobody.fasta	examples/testset/5m13/reference.cif	Synthetic nanobody in complex with MBP (1.37 A)
8emz_wt	examples/testset/8emz/target.fasta	examples/testset/8emz/nanobody.fasta	examples/testset/8emz/reference.cif	Structure of GII.17 norovirus in complex with Nanobody 2 (1.40 A)
6xzu_wt	examples/testset/6xzu/target.fasta	examples/testset/6xzu/nanobody.fasta	examples/testset/6xzu/reference.cif	Complex of C-terminal domain of murine complement C3b with t (1.50 A)
4n9o_wt	examples/testset/4n9o/target.fasta	examples/testset/4n9o/nanobody.fasta	examples/testset/4n9o/reference.cif	Probing the N-terminal beta-sheet conversion in the crystal  (1.50 A)
9ho5_wt	examples/testset/9ho5/target.fasta	examples/testset/9ho5/nanobody.fasta	examples/testset/9ho5/reference.cif	Crystal Structure of the Human Frataxin protein in complex w (1.50 A)
7oao_wt	examples/testset/7oao/target.fasta	examples/testset/7oao/nanobody.fasta	examples/testset/7oao/reference.cif	Nanobody C5 bound to RBD (1.50 A)
