job	n_mut	iptm_nb	d_iptm	ipsae	ipsae_src	d_ipsae	ipsae_d0chn	ipsae_d0dom	pdockq2	d_pdockq2	pdockq	lis	iptm_ag	ptm	iptm_d0chn	nb_plddt	cdr3_plddt	d_cdr3	iface_pae	n_contacts	dockq	n_models
4n9o_m_v01	1	0.959328		0.9344	공식		0.964154	0.962978	0.9441		0.5197	0.7512	0.919169	0.950867	0.964154	97.2711	98.3668		0.649682	53		1
4n9o_m_v02	2	0.952381		0.922963	공식		0.9563	0.954321	0.9364		0.5157	0.7361	0.895619	0.936398	0.9563	96.7602	98.2639		0.728299	53		1
4n9o_m_v03	3	0.957929		0.93176	공식		0.962093	0.960307	0.9403		0.5038	0.7351	0.881095	0.929024	0.962093	96.9329	98.2539		0.65284	51		1
4n9o_m_v04	1	0.964526		0.942562	공식		0.96911	0.967771	0.9502		0.5227	0.7618	0.894901	0.938071	0.96911	97.5615	98.5087		0.584417	53		1
4n9o_m_v05	2	0.949163		0.91377	공식		0.954315	0.953031	0.9125		0.4393	0.747	0.907145	0.951892	0.954315	96.9964	97.0373		0.79019	45		1
4n9o_m_v06	3	0.940591		0.895542	공식		0.942475	0.93933	0.8569		0.4541	0.688	0.864185	0.91944	0.942475	95.8348	95.3757		0.996317	51		1
4n9o_m_v07	1	0.960142		0.934443	공식		0.964959	0.963765	0.9027		0.4631	0.7402	0.910625	0.947496	0.964959	96.0899	96.5527		0.679361	49		1
4n9o_m_v08	2	0.964824		0.942732	공식		0.969534	0.96819	0.9534		0.5119	0.7575	0.905614	0.94555	0.969534	97.4293	98.6252		0.598986	51		1
4n9o_m_v09	3	0.919561		0.85261	공식		0.917359	0.914235	0.8571		0.4545	0.6619	0.856442	0.925305	0.917359	95.5483	94.5685		1.24565	50		1
4n9o_m_v10	1	0.962623		0.938724	공식		0.968165	0.967033	0.9239		0.5123	0.746	0.908643	0.947174	0.968165	96.3938	98.031		0.690211	54		1
4n9o_m_v11	2	0.962477		0.938991	공식		0.968501	0.967046	0.8731		0.4098	0.7451	0.894241	0.940616	0.968501	96.1788	95.5071		0.69515	45		1
4n9o_m_v12	3	0.958385		0.932168	공식		0.962702	0.96067	0.9533		0.5326	0.7383	0.872484	0.92537	0.962702	97.1855	98.6288		0.668896	54		1
4n9o_m_v13	1	0.912173		0.852206	공식		0.91776	0.913289	0.8254		0.3313	0.6942	0.863283	0.921058	0.91776	95.5635	95.0432		0.944177	39		1
4n9o_m_v14	2	0.957934		0.930542	공식		0.963742	0.961969	0.9441		0.4853	0.7452	0.866837	0.930906	0.963742	97.3098	98.075		0.692038	48		1
4n9o_m_v15	3	0.959797		0.93479	공식		0.964373	0.962869	0.9263		0.5001	0.7562	0.900556	0.940403	0.964373	96.8891	97.8084		0.623122	52		1
4n9o_m_v16	1	0.963287		0.940252	공식		0.968875	0.967456	0.9488		0.5227	0.7472	0.911222	0.948315	0.968875	97.0845	98.4323		0.637403	53		1
4n9o_m_v17	2	0.956818		0.92942	공식		0.961334	0.959709	0.9054		0.4947	0.7293	0.899685	0.940208	0.961334	96.5198	97.2654		0.726091	53		1
4n9o_m_v18	3	0.92154		0.86903	공식		0.926514	0.92631	0.5308		0.3392	0.7237	0.917191	0.947878	0.926514	93.5027	90.421		1.47728	67		1
4n9o_m_v19	1	0.956366		0.929015	공식		0.960696	0.959076	0.9158		0.4939	0.7413	0.901881	0.94133	0.960696	96.5896	97.4885		0.698916	52		1
4n9o_m_v20	2	0.960748		0.936242	공식		0.965322	0.964176	0.9495		0.5171	0.7541	0.921668	0.953035	0.965322	97.2398	98.5351		0.665459	52		1
5imk_m_v01	1	0.797707		0.500576	공식		0.669751	0.650038	0.5393		0.2909	0.4031	0.696698	0.834058	0.659482	95.0156	95.5029		4.62576	35		1
5imk_m_v02	2	0.851913		0.616185	공식		0.80077	0.793177	0.6843		0.3178	0.4731	0.74412	0.860134	0.79237	94.9865	95.6028		2.96546	38		1
5imk_m_v03	3	0.248446		0	공식		0	0	0.0138		0.0838	0.0123	0.255285	0.596935	0.113843	86.0236	66.8071		20.716	31		1
5imk_m_v04	1	0.786192		0.478389	공식		0.645502	0.62046	0.4738		0.3024	0.3891	0.685383	0.826817	0.629798	95.5799	96.3303		4.9902	37		1
5imk_m_v05	2	0.763153		0.442116	공식		0.608211	0.574458	0.3538		0.3017	0.3785	0.652117	0.814831	0.594251	94.0797	92.3398		5.8089	42		1
5imk_m_v06	3	0.897282		0.766953	공식		0.887548	0.88346	0.6615		0.3291	0.538	0.788059	0.882936	0.88281	94.8764	93.3443		2.07856	48		1
5imk_m_v07	1	0.849341		0.607538	공식		0.795327	0.787104	0.6388		0.2773	0.4681	0.741313	0.858451	0.785229	95.172	95.8402		3.1787	36		1
5imk_m_v08	2	0.197097		0	공식		0	0	0.0135		0.1931	0	0.18762	0.590612	0.095373	89.2232	71.4424		20.182	39		1
5imk_m_v09	3	0.726774		0.350021	공식		0.527044	0.48447	0.2612		0.269	0.2924	0.641053	0.801202	0.483773	94.9285	95.9616		6.9783	34		1
5imk_m_v10	1	0.825395		0.555631	공식		0.737812	0.726979	0.6038		0.3287	0.4329	0.726098	0.85019	0.726224	95.1848	95.9922		3.75575	39		1
5imk_m_v11	2	0.777527		0.472732	공식		0.657867	0.62614	0.3764		0.2603	0.4037	0.661224	0.811532	0.645095	92.6236	88.3155		4.63605	43		1
5imk_m_v12	3	0.884137		0.749613	공식		0.879702	0.874477	0.6177		0.2418	0.5246	0.771324	0.878638	0.870399	93.4369	90.3165		2.03462	39		1
5imk_m_v13	1	0.820137		0.54925	공식		0.737847	0.72494	0.6119		0.3017	0.4348	0.709548	0.844033	0.726193	95.1223	95.9999		3.75453	36		1
